question,answers
Is servicing and maintenance included in a car lease?,"You can choose deals with servicing included, although not all lease companies will offer this. If the deal does come with maintenance, the lease company will pay for all servicing and scheduled maintenance, but some consumables such as tyres and windscreen wipers may not be included.If the deal does not have maintenance included you will have to pay for servicing. The terms and conditions of the lease may stipulate that this is done at a franchised dealer or manufacturer-approved service centre. As the car is likely to be under warranty for the duration of the lease, any faults will be repaired under warranty and you may be able to purchase a servicing package. A full guide on maintenance can be found here."
What does initial rental mean?,"This means how many months upfront you can pay as you initial rental on your choice of car lease. So if you were looking at leasing a car for £199.99 per month and the deal states that the initial rental is six months you would pay £1,199.94 in the first month, outside of any additional fees.Your initial rental will usually be taken between 1 and 3 weeks AFTER your vehicle has been delivered - you can class this as your first month’s payment."
Is there a mileage limit on a car lease?,"Yes. All the deals advertised on Leasing.com have a mileage limit, and there will be an excess mileage charge for exceeding this. It is therefore important that you are realistic about the number of miles the vehicle will cover when you take out the lease. Choosing wisely will save irritating and potentially expensive surcharges."
Can I amend the agreed mileage part-way through a contract?,"This should not be a problem. You will need to contact the leasing company concerned to arrange an alternative agreement, but this will usually mean altering the monthly payments."
Can I lease a car if I have bad credit?,"As responsible lenders, FCA-regulated companies and signatories to the Leasing.com Code of Conduct, our advertising partners have to perform a credit check before completing a lease agreement. This is necessary to protect both you and the leasing company.We can’t comment on individual cases, but those with poor credit may find it harder to be accepted. If you are unsure, the best course of action would be to find a deal you like, contact the advertiser and explain the situation. Here’s our full guide on leasing with poor credit."
Who supplies the lease car?,"All the lease deals you’ll find on Leasing.com are offered by our advertising partners, including dealers and brokers nationwide. Thanks to our wide range of advertising partners we are able to introduce you to millions of competitive deals from some of the UK’s most reputable leasing dealers and brokers."
Is delivery and collection included in a lease deal?,"Generally, yes. The majority of deals on Leasing.com offer delivery to UK mainland free of charge. However, some lease providers may charge a fee, or may require consumers to collect vehicles from them directly."
Can I part-exchange my existing car?,"Leasing.com cannot buy your existing car from you, but we can help you sell your car. We have partnered with Motorway – the fast, free and easy used car selling platform. Motorway allows you to compare multiple offers from more than 4,000 verified dealers and uses live market data to accurately estimate your car’s value.  Sell your old car here."
What happens if a leased car windscreen cracks?,"If the windscreen of your leased car develops a crack or chip, the options open to you depend on your leasing agreement. Some agreements, but not all, will cover the cost of replacement glass. If you have repair costs covered as part of your contract, then all you need to do is contact the company who you leased the car through and they will provide you with a list of preferred suppliers. From there it is up to you which one you use.If your lease agreement stipulates that you have to cover windscreen repairs yourself, it is worth checking your car insurance as many fully comprehensive policies cover the cost of windscreen replacement."
What if the car gets damaged during the lease?,"The vehicle is your responsibility. Please take care of it. During your time with the vehicle, it must be used, maintained and looked after according to the manufacturer’s guidelines. At the end of the contract minor damage such as small stone chips and bumper scuffs are unlikely to be an issue under the ‘fair wear and tear’ clause found in lease contracts. But more severe damage will need to be fixed by an approved repair centre. A full guide on fair wear and tear can be found here."
What happens if my lease car is written off or stolen?,"If a leased car is stolen or written off the insurance company will negotiate directly with the leasing company. Different companies have varying policies. We recommend that you check with the company concerned. You may want to consider Guaranteed Asset Protection (GAP) insurance, in case the insurer won’t pay out enough to cover the outstanding finance. A full guide on GAP insurance can be found here."
What lengths of contract are available?,"The minimum term for a contract hire agreement is 12 months, with deals on Leasing.com stretching to as long as 60 months (five years)."
Can I put a personal number plate on the car?,"Yes, this shouldn’t be a problem, just check with finance company providing the vehicle first. Make sure that you have their agreement and confirmation that they will transfer the number back to you at the end of the agreement."
Can I exit the lease deal early or transfer a lease to another person?,"You can exit a lease agreement early, but not without financial penalty. Should you need to exit the deal early, just contact your lease company and request an early settlement figure, but you should expect to pay between 50% and 100% of the outstanding payments.A lease transfer is when you wish to exit the terms of your lease and rather than terminate your contract and pay the fees, you transfer it over to someone else who carries on paying the monthly payments. You’ll need to check with your lease provider whether a transfer is permitted. A full guide on lease transfer can be found here."
What happens to your lease agreement if you die?,"All car leasing agreements have early termination penalties that apply for ending a lease early. Even in the event of death, they may stll apply. Whoever is in charge of settling the estate will have to settle any penalty fees for terminating the agreement early as part of managing the estate."
