"tweet_id","author_id","inbound","created_at","text","response_tweet_id","in_response_to_tweet_id"
"26","1213","False","36:44.0","This means how many months upfront you can pay as you initial rental on your choice of car lease. So if you were looking at leasing a car for £199.99 per month and the deal states that the initial rental is six months you would pay £1,199.94 in the first month, outside of any additional fees.
Your initial rental will usually be taken between 1 and 3 weeks AFTER your vehicle has been delivered - you can class this as your first month’s payment.","","25"
"27","1221","True","36:44.0","Is there a mileage limit on a car lease?","28",""
"28","7050","False","36:44.0","Yes. All the deals advertised on Leasing.com have a mileage limit, and there will be an excess mileage charge for exceeding this. It is therefore important that you are realistic about the number of miles the vehicle will cover when you take out the lease. Choosing wisely will save irritating and potentially expensive surcharges.","","27"
"29","1200","True","36:44.0","Can I amend the agreed mileage part-way through a contract?","30",""
"30","1000","False","36:44.0","This should not be a problem. You will need to contact the leasing company concerned to arrange an alternative agreement, but this will usually mean altering the monthly payments.","","29"
"31","843","True","36:44.0","Can I lease a car if I have bad credit?","32",""
"32","97","False","36:44.0","As responsible lenders, FCA-regulated companies and signatories to the Leasing.com Code of Conduct, our advertising partners have to perform a credit check before completing a lease agreement. This is necessary to protect both you and the leasing company.
We can’t comment on individual cases, but those with poor credit may find it harder to be accepted. If you are unsure, the best course of action would be to find a deal you like, contact the advertiser and explain the situation.","","31"
"33","855","True","36:44.0","Who supplies the lease car?","34",""
"34","37","False","36:44.0","All the lease deals you’ll find on Leasing.com are offered by our advertising partners, including dealers and brokers nationwide. Thanks to our wide range of advertising partners we are able to introduce you to millions of competitive deals from some of the UK’s most reputable leasing dealers and brokers.","","33"
"35","4536","True","36:44.0","Is delivery and collection included in a lease deal?","36",""
"36","1010","False","36:44.0","Generally, yes. The majority of deals on Leasing.com offer delivery to UK mainland free of charge. However, some lease providers may charge a fee, or may require consumers to collect vehicles from them directly.","","35"
"37","4536","True","36:44.0","Can I part-exchange my existing car?","38",""
"38","1010","False","36:44.0","Leasing.com cannot buy your existing car from you, but we can help you sell your car. We have partnered with Motorway – the fast, free and easy used car selling platform. Motorway allows you to compare multiple offers from more than 4,000 verified dealers and uses live market data to accurately estimate your car’s value.","","37"
"39","4536","True","36:44.0","What happens if a leased car windscreen cracks?","40",""
"40","1010","False","36:44.0","If the windscreen of your leased car develops a crack or chip, the options open to you depend on your leasing agreement. Some agreements, but not all, will cover the cost of replacement glass. If you have repair costs covered as part of your contract, then all you need to do is contact the company who you leased the car through and they will provide you with a list of preferred suppliers. From there it is up to you which one you use.","","39"
"41","4536","True","36:44.0","What if the car gets damaged during the lease?","42",""
"42","1010","False","36:44.0","The vehicle is your responsibility. Please take care of it. During your time with the vehicle, it must be used, maintained and looked after according to the manufacturer’s guidelines. At the end of the contract minor damage such as small stone chips and bumper scuffs are unlikely to be an issue under the ‘fair wear and tear’ clause found in lease contracts. But more severe damage will need to be fixed by an approved repair centre","","41"
"43","4536","True","36:44.0","What happens if my lease car is written off or stolen?","44",""
"44","1010","False","36:44.0","If a leased car is stolen or written off the insurance company will negotiate directly with the leasing company. Different companies have varying policies. We recommend that you check with the company concerned. You may want to consider Guaranteed Asset Protection (GAP) insurance, in case the insurer won’t pay out enough to cover the outstanding finance.","","43"
"45","4536","True","36:44.0","What lengths of contract are available?","46",""
"46","1010","False","36:44.0","The minimum term for a contract hire agreement is 12 months, with deals on Leasing.com stretching to as long as 60 months (five years).","","45"
"47","1","True","36:44.0","Can I put a personal number plate on the car?","48",""
"48","456","False","36:44.0","Yes, this shouldn’t be a problem, just check with finance company providing the vehicle first. Make sure that you have their agreement and confirmation that they will transfer the number back to you at the end of the agreement.","","47"
"49","908","True","36:44.0","Can I exit the lease deal early or transfer a lease to another person?","50",""
"50","560","False","36:44.0","Early termination usually has fees. A lease transfer is when you wish to exit the terms of your lease and rather than terminate your contract and pay the fees, you transfer it over to someone else who carries on paying the monthly payments","","49"
"51","8907","True","36:44.0","What happens to your lease agreement if you die?","52",""
"52","69","False","36:44.0","All car leasing agreements have early termination penalties that apply for ending a lease early. Even in the event of death, they may stll apply. Whoever is in charge of settling the estate will have to settle any penalty fees for terminating the agreement early as part of managing the estate.","","51"
